base.id,base.currenthp,base.morale,base.populationList,base.status
1,100,50,4,war

0,10,50,33,war
1,100,49,4,war

0,10,49,33,war
1,100,48,4,war

0,10,48,33,war
1,100,37,3,war

0,10,47,33,war
1,100,36,3,war

0,10,46,33,war
1,100,35,3,war

0,10,45,33,war
1,100,54,3,war

0,10,84,33,war
1,100,53,3,war

0,10,83,33,war
1,100,72,3,war

0,10,82,33,war
1,100,71,3,war

0,10,50,34,war
1,100,90,3,war

0,10,69,34,war
1,100,89,3,war

0,10,88,34,war
1,100,88,3,war

0,10,87,34,war
1,100,87,3,war

0,10,86,34,war
1,100,86,3,war

0,10,85,34,war
1,100,85,3,war

0,10,84,34,war
1,100,84,3,war

0,10,50,35,war
1,100,83,3,war

0,10,49,35,war
1,100,82,3,war

0,10,48,35,war
1,100,81,3,war

0,10,67,35,war
1,100,80,3,war

0,10,86,35,war
1,100,79,3,war

0,10,50,36,war
1,100,78,3,war

0,10,49,36,war
1,100,77,3,war

0,8,88,36,war
1,100,76,3,war

0,6,87,36,war
1,100,75,3,war

0,4,86,36,war
1,100,74,3,war

0,2,85,36,war
1,100,73,3,war

0,100,72,39,peace

